序號,KOC名稱,主要Handle,主要連結,IG Handle / Email,其他平台連結,所在城市/地區,主要語言,主領域,次領域,內容主題標籤,受眾屬性,粉絲數/規模,互動率(%)
11,ZAN! Newsletter（Rebecca EH）,—,—,zanthenewsletter.substack.com,Substack,USA,英語,亞洲離散社群藝術推薦 newsletter,音樂、文學、電影,#AsianDiaspora #music #film,亞裔創作圈、跨媒體文化愛好者,Substack（訂閱數待查，每月 2 期）,—
12,Asian A.V. Club,—,—,asianavclub.substack.com,Substack（active to 2026-04）,USA,英語,亞裔美國電影／音樂 newsletter,導演/創作者深訪,#AsianAmerican #film #music,亞裔電影迷、娛樂產業讀者,Substack（活躍，71 期以上）,—
13,Hǎi 海（Jake Newby）,—,—,alltimehai.substack.com,Substack,中國/跨境,英語,獨立華語電影／文化 newsletter,中國獨立音樂場景,#ChineseIndie #film #music,對華語獨立文化感興趣的英語讀者,Substack（文章類型精準）,—
14,Katie Gee Salisbury,—,—,katiegeesalisbury.com,個人網站；Substack,"New York, NY",英語,AAPI 文化 writer／journalist,音樂、影視評論,#AAPI #culture #writing,北美亞裔文化圈讀者,Substack（規模待查）,—
15,Anthony Kaufman,—,—,anthonykaufman.substack.com,Substack,"New York, NY",英語,獨立電影 Substack 寫手,覆蓋 AAPI 影展、紀錄片,#indiefilm #documentary #AAPI,獨立電影產業讀者、影展關注者,Substack（定期更新）,—
16,Sound & Vision Newsletter,—,—,soundnvision.substack.com,Substack,USA,英語,音樂 + 視覺文化 newsletter,涵蓋 AAPI 音樂文化,#music #culture #AAPI,音樂文化迷、跨媒體讀者,Substack,—
17,The Amp（Asian American Arts Alliance）,—,—,aaartsalliance.org/magazine,官網 Magazine,"New York, NY",英語,AAPI 藝術文化媒體,音樂、視覺藝術、表演,#AAPI #arts #music,紐約亞裔藝術圈、AAPI 創作者,網站 + Email newsletter,—
18,Meaghan Abaca（LinkedIn）,—,—,linkedin.com/in/meaghanabaca,LinkedIn,USA,英語,AAPI 音樂產業 LinkedIn 寫手,音樂產業/AAPI 代表性,#AAPI #musicindustry #representation,音樂產業從業者、LinkedIn 讀者,LinkedIn（文章觸及範圍待查）,—
19,Elliot Lee,@elliotleemusic,tiktok.com/@elliotleemusic,@elliotleemusic,官網查詢,"New York, NY",英語,另類 Pop／獨立音樂人,非二元性別／LGBTQ+ 聲音,#altpop #indiemusic #nyc,獨立音樂迷、LGBTQ+ 亞裔粉絲,"47,400",~4%
20,Sarah Kang,@sarahkangmusic,tiktok.com/@sarahkangmusic,@sarahkangmusic,官網查詢,"New York, NY",英語,韓裔美籍 indie jazz/pop,首張北美巡演 2023,#indiejazz #jazzy #koreanaamerican,都會女性音樂迷、NYC 爵士/indie 圈,"8,638（IG 59K）",~3.5%
21,Audrey English,@audreyenglishmusic,tiktok.com/@audreyenglishmusic,@audreyenglishmusic,官網查詢,USA,英語,薩摩亞裔美籍 R&B/gospel 歌手,AGT、American Idol 受邀,#rnb #gospel #AAPI,AAPI R&B 愛好者,"IG 11,000（TikTok 待查）",~3%
22,Rini,@rinimusic,tiktok.com/@rinimusic,@rinimusic,官網查詢,"Los Angeles, CA",英語,菲律賓／印尼裔美籍 indie R&B,88rising 相關圈子,#indieRnB #AAPI #lo-fi,AAPI indie R&B 迷、88rising 聽眾,"IG ~25,000※",~2.5%
23,Yeek,@yeekyeek,tiktok.com/@yeekyeek,@yeekyeek,官網查詢,"Los Angeles, CA",英語,菲裔美籍 indie/alt 音樂人,Stones Throw Records 簽約,#indie #altpop #FilipinAmerican,獨立音樂迷、LA alt 圈,"IG ~40,000※",~2%
24,Audrey Nuna,@audreynuna,tiktok.com/@audreynuna,@audreynuna,官網查詢,"New York, NY",英語/韓語,韓裔美籍 rapper／singer,Columbia Records 簽約,#rap #AAPI #alternative,AAPI hip-hop/另類音樂迷,"IG ~40,000",~2%
25,Luna Li,@lunalilunalilunali,tiktok.com/@lunalilunalilunali,@lunalilunalilunali,官網查詢,"Toronto, Canada",英語,韓裔加拿大多樂器音樂人,COVID 時期病毒式影片、AWAL 發行,#multiinstrumentalist #indie #toronto,獨立音樂迷、加拿大 AAPI 受眾,"TikTok 48,000（IG 112K，超過門檻）",~4%
26,Marié Digby,@mariedigby,tiktok.com/@mariedigby,@mariedigby,官網查詢,"Los Angeles, CA",英語/日語,日裔愛爾蘭裔美籍 singer-songwriter,2007 YouTube 病毒式起家,#singerSongwriter #acoustic #Japanese,亞裔成人流行音樂迷,"IG ~45,000",~2%
27,Jason Chen 陳以桐,@jasondchen,tiktok.com/@jasondchen,@jasondchen,官網查詢,Boston/LA,英語/中文,台裔美籍 singer-songwriter,#MusicNeverSleeps YouTube 2M subscribers,#pop #TaiwaneseAmerican #cover,台美年輕世代、亞裔流行音樂迷,IG 3M（TikTok 規模待查）※超過門檻,—
28,Amber Liu,@amberliu,tiktok.com/@amberliu,@amberliu,官網查詢,"Los Angeles, CA",英語/中文,台裔美籍 K-pop solo 轉獨立,SM Entertainment f(x) 出身,#pop #TaiwaneseAmerican #kpop,台裔美籍 K-pop/pop 粉絲,IG ~700K※大幅超過門檻,—
29,Cynthia Lin,@cynthialinmusic,tiktok.com/@cynthialinmusic,@cynthialinmusic,官網查詢,"San Francisco, CA",英語/中文,華裔美籍烏克麗麗演奏家／音樂教育者,YouTube 400K+；TikTok 音樂教育內容,#ukulele #ChineseAmerican #musicteacher,音樂學習者、AAPI 家庭受眾,TikTok ~80K※略超,~4%
30,mxmtoon（Maia Mchugh）,@mxmtoon,tiktok.com/@mxmtoon,@mxmtoon,官網查詢,Oakland/NYC,英語,華裔美籍 indie pop 創作歌手,Ukulele bedroom pop；Netflix DOTA 配樂,#indie #bedroomPop #ChineseAmerican,獨立音樂迷、LGBTQ+ AAPI 粉絲,TikTok ~200K※大幅超過門檻,—
