序號,KOC名稱,主要Handle/連結,Email,其他平台,所在城市,主要語言,主領域,次領域,內容標籤,受眾屬性,粉絲/訂閱規模,欄位13,來源/備註
13,Elizabeth Tai (Tai Tales),elizabethtai.substack.com,—,Substack,Malaysia／Global,英語,亞洲 Substack 策展人,定期介紹亞洲相關 Substack，覆蓋音樂、電影,#AsiaSubstack #storytelling #culture,亞洲英語讀者、Substack 創作社群,活躍，訂閱數待查,,
14,Tone Glow (Josh Feola),toneglow.substack.com,—,Substack,USA,英語,實驗音樂與電影 newsletter,覆蓋亞洲實驗音樂、電影配樂,#experimentalmusic #film #avantgarde,實驗音樂迷、電影配樂愛好者,Substack 活躍,,
15,Brownouts (Prometheus Brown),brownouts.substack.com / brownouts.wtf,—,KEXP；Blue Scholars,"Seattle, WA",英語,AAPI 音樂文化 + 個人評論 newsletter,亞洲離散音樂評論；每週「What I Listened To」,#AAPI #music #hiphop,AAPI 音樂迷、hip-hop 社群,"1,000+ 訂閱",,
16,AAPI Musicians (aapimusicians.com),aapimusicians.com,官網查詢,IG；Email newsletter,USA,英語,AAPI 音樂人目錄 + newsletter,整理 AAPI 音樂人資源與消息,#AAPImusicians #AAPI #music,AAPI 音樂人及支持者,目錄網站＋email 訂閱,,
17,Pacific Bridge Arts Foundation,pbaf.org,官網查詢,Grammy Gold Music Alliance 合作夥伴,National,英語,AAPI 表演藝術基金會,Recording Academy 合作，推動 AAPI 音樂代表性,#AAPI #music #arts,AAPI 音樂產業人士,Email newsletter,,
18,SURF Music Writing Camp (Rock Paper Scissors PR),surfmusic.rockpaperscissors.biz,官網查詢,rockpaperscissors.biz,National,英語,AAPI 音樂 PR 社群,年度 AAPI 音樂寫作營；連接音樂媒體與 AAPI 藝術家,#AAPI #musicPR #writing,音樂媒體、PR 產業人士,Email newsletter,,
19,Asian Music Podcast / Eastern Echoes Newsletter (Diana Ratsamee),dianaratsamee.substack.com,—,KEXP Eastern Echoes,"Seattle, WA",英語,亞洲離散音樂 Substack,搭配 KEXP 節目的音樂推薦 newsletter,#AsianDiaspora #music #radio,KEXP 聽眾、亞洲音樂愛好者,Substack（活躍）,,
20,Gold House Newsletter,goldhouseco.com,官網查詢,LinkedIn 14K；IG 35K,National,英語,AAPI 創作者生態 newsletter,Gold Music Alliance；Futures Music Guild；影視/音樂倡議,#AAPI #music #entertainment,AAPI 音樂/娛樂產業人士,LinkedIn 14K + email 訂閱,,
21,Karen Kwak,linkedin.com/in/karenkwak（搜尋確認）,—,"Los Angeles, CA",英語,Warner Records EVP（簽約/A&R 決策）,藍調、獨立音樂授權；《比爾街藍調》發行潛力,Variety 2024 AAPI 音樂高管榜,,,,,
22,Jon Chen,linkedin.com/in/jonchen（搜尋確認）,—,"New York, NY",英語,Warner Chappell Music VP（音樂版權）,音樂紀錄片授權議題；亞裔音樂故事,Variety 2024 AAPI 音樂高管榜,,,,,
23,Michael Chua,linkedin.com/in/michaelwchua,@michaelwchua（LinkedIn 活躍）,National,英語,Ticketmaster VP Global Business Dev & Strategy,現場演出生態；音樂節連結；Asian Nation ERG,Variety 2024 AAPI 音樂高管榜,,,,,
24,Ronny Ho,linkedin.com/in/ronnyho（搜尋確認）,—,"San Francisco, CA",英語,Spotify 舞曲/電子音樂 Editorial 主管,Spotify AAPI 音樂策展；Her Dancefloor 共同創辦,Variety 2025 AAPI 音樂高管榜,,,,,
25,Wendy Ong,linkedin.com/in/wendyong（搜尋確認）,Billboard 受訪,London / Global,英語,TaP Music 全球共同總裁 & CMO（前 BMG、Roc Nation、EMI）,全球音樂市場；K-pop 到獨立音樂全覆蓋,Billboard AAPI 音樂高管專訪,,,,,
26,Inga Kan,linkedin.com/in/ingakan（搜尋確認）,—,"New York, NY",英語,Columbia Records 創意總監,唱片封面/campaign 創意；Jennie、Miley Cyrus 合作,Variety 2025 AAPI 音樂高管榜,,,,,
27,Kevin Lazatin,linkedin.com/in/kevinlazatin（搜尋確認）,—,"Los Angeles, CA",英語,Adidas Global Culture & Music Marketing,品牌 × 音樂跨界；文化行銷視角,Variety 2025 AAPI 音樂高管榜,,,,,
28,Raymond Mai,linkedin.com/in/raymondmai（搜尋確認）,—,"Los Angeles, CA",英語,Universal Music Group 高管,主流唱片生態；AAPI 音樂代表性,Variety 2024 AAPI 音樂高管榜,,,,,
29,Barry Fernando,linkedin.com/in/barryfernando（搜尋確認）,—,"Los Angeles, CA",英語,Universal Music Group 高管,同上；AAPI 文化推廣,Variety 2024 AAPI 音樂高管榜,,,,,
30,Eric Diep,linkedin.com/in/ericdiep（搜尋確認）,—,"New York, NY",英語,音樂記者（AAPI 音樂史 + hip-hop 報導；Asian Am Arts Alliance 特稿）,AAPI 音樂敘事；紀錄片觀點,Asian American Arts Alliance 2024 年度特稿作者,,,,,
