序號,KOC名稱,IG Handle,IG連結,Email,其他平台連結,所在城市/地區,主要語言,主領域,次領域,內容主題標籤,受眾屬性,粉絲數,互動率(%)
31,NYC Musicians,@nycmusicians,instagram.com/nycmusicians,musiciansny@gmail.com,—,"New York, NY",英語,NYC 音樂人攝影/影片,音樂紀錄內容,#nycmusicians #nyc #livemusic,NYC 音樂圈、獨立音樂人,"29,000",~2%
32,Chinese Culture Center SF,@cccsanfrancisco,instagram.com/cccsanfrancisco,官網查詢,cccsf.us,"San Francisco, CA",英語/中文,中華文化藝術中心,舊金山唐人街,#ChineseCulture #sf #arts,舊金山華裔社群、藝術愛好者,"6,200",~3%
33,Asian CineVision (AAIFF),@asiancinevision,instagram.com/asiancinevision,官網查詢,asiancinevision.org,"New York, NY",英語,亞裔電影節/媒體,亞裔美國電影,#AAIFF #AAPIfilm #nyc,亞裔美國電影愛好者、NYC 藝文社群,"7,350",~3%
34,Asian American Collective,@asianamericancollective,instagram.com/asianamericancollective,官網查詢,—,LA / NYC,英語,亞裔美國人音樂/媒體社群,娛樂/創意產業,#AAPI #AsianAmerican #music,洛杉磯/紐約亞裔創意圈,"37,000",~2%
35,A-Doc (亞裔紀錄片網絡),@aadocnetwork,instagram.com/aadocnetwork,官網查詢,a-doc.org,USA（全國）,英語,亞裔美國紀錄片社群,紀錄片製作,#documentary #AAPI #filmmaking,亞裔紀錄片製作人、紀錄片愛好者,"9,100",~3%
36,CAAM（亞裔美國媒體中心）,@caamedia,instagram.com/caamedia,官網查詢,caamedia.org,"San Francisco, CA",英語,亞裔美國媒體組織,紀錄片/電影,#CAAM #AsianAmerican #film,舊金山亞裔電影社群、紀錄片愛好者,"15,000",~2.5%
37,Pacific Arts Movement (SDAFF),@pacartsmovement,instagram.com/pacartsmovement,官網查詢,pacarts.org,"San Diego, CA",英語,亞裔電影節（SDAFF）,西岸亞裔電影,#SDAFF #AsianFilm #sandiego,聖地牙哥亞裔電影愛好者,"7,900",~3%
38,Asian American Arts Alliance,@aaartsalliance,instagram.com/aaartsalliance,官網查詢,aaartsalliance.org,"New York, NY",英語,亞裔藝術倡議組織,NYC 藝文社群,#AAPI #arts #APA,紐約亞裔藝術創作者,"23,000",~2%
39,Asian Arts Initiative,@asianartsphilly,instagram.com/asianartsphilly,官網查詢,asianartsinitiative.org,"Philadelphia, PA",英語,亞裔藝術組織,費城社群藝術,#AsianArts #philadelphia #community,費城亞裔社群、藝術愛好者,"15,000",~2.5%
40,Asian Concerts USA & Canada,@asianconcertsusa,instagram.com/asianconcertsusa,—,—,USA / Canada,英語/中文,亞裔演唱會資訊帳號,亞洲音樂活動,#AsianConcerts #asian #music,北美亞裔音樂活動追蹤者,"7,700",~3%
41,JoySauce,@joysauceofficial,instagram.com/joysauceofficial,官網查詢,joysauce.com,USA（全國）,英語,亞裔美國娛樂媒體,串流/文化內容,#AAPI #AsianAmerican #entertainment,亞裔美國年輕世代、娛樂粉絲,"36,000",~2%
42,Asian World Film Festival,@asianworldff,instagram.com/asianworldff,官網查詢,—,"Culver City, CA",英語,亞洲電影節,洛杉磯亞洲電影,#AsianFilm #AWFF #losangeles,洛杉磯亞洲電影愛好者,"9,000",~3%
43,asian.film,@asian.film,instagram.com/asian.film,—,—,International,英語,亞洲電影內容策展,全球亞洲電影,#asianfilm #cinema #asiancinema,亞洲電影愛好者（北美受眾為主）,"13,000",~2.5%
44,Toronto Reel Asian Film Festival,@reelasian,instagram.com/reelasian,官網查詢,reelasian.com,"Toronto, Canada",英語,加拿大最大泛亞電影節,亞裔加拿大電影,#ReelAsian #Toronto #AsianFilm,多倫多亞裔電影愛好者,"18,000",~2.5%
45,88rising Radio,@88rising.radio,instagram.com/88rising.radio,官網查詢,88rising.com,USA（全國）,英語,亞裔音樂媒體/廣播,SiriusXM 亞裔頻道,#88rising #AsianMusic #radio,全美亞裔音樂聽眾,"7,200",~3%
46,Mochi Magazine,@mochimagofficial,instagram.com/mochimagofficial,官網查詢,mochimag.com,USA（全國）,英語,亞裔美國女性媒體,娛樂/文化,#APA #AsianAmerican #women,亞裔美國女性讀者,"13,000",~2.5%
47,Kearny Street Workshop,@kearnystreetworkshop,instagram.com/kearnystreetworkshop,官網查詢,kearnystreet.org,"San Francisco, CA",英語,亞裔藝術多元媒體組織（成立 1972）,APAture 藝術節,#KSW #AAPI #APAture,舊金山亞裔藝術創作者,"5,600",~3.5%
48,Character Media,@character.media,instagram.com/character.media,官網查詢,charactermedia.com,USA（全國）,英語,亞裔美國娛樂雜誌（成立 1990）,電影/音樂/電視,#AAPI #AsianAmerican #entertainment,全美亞裔娛樂粉絲,"33,000",~2%
49,Festival AMERICA,@festivalamerica,instagram.com/festivalamerica,官網查詢,—,USA（全國）,英語,美式根源音樂節,Americana / 根源樂,#americana #roots #rootsmusic,美式根源樂/民謠/藍調愛好者,"5,300",~3.5%
50,"Mr. Sipp ""The Mississippi Blues Child""",@mrsipp_tmbc,instagram.com/mrsipp_tmbc,官網查詢,mrsipp.net,"McComb, MS",英語,藍調吉他手/歌手,2014 IBC 冠軍、2024 Grammy 得主,#blues #IBC #mississippi #grammy,藍調社群、IBC 粉絲、密西西比音樂愛好者,"~8,000※",~3%
